 
# QPROP Version 1.22
# 
# TCC 66x47                                                                       
# 
# EMRAX 228 LV compact axial flux permanent magnet synchronous electric motor     
#   0.13500E-02  Rmotor (Ohms)                  
#    188.00      Io      (Amps)  No load current
#    30.940      Kv    (rpm/Volt)               
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#  21.787   3000.      0.000   3205.       416.9      0.1310E+06  99.039 1538.9216   0.8594   0.5330   0.00210  0.1414E-07  0.5568E-10   0.0350   0.4581  0.1524E+06  0.6982E+05   0.8158  0.4616E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.1832  0.1370  46.426   1.1734  0.05071   564000  0.176   0.5542   0.9127   33.74       13.60      0.3786E-02
   0.2096  0.1598  42.357   1.1221  0.00638   739931  0.198   0.5229   0.9875   35.98       14.01      0.4013E-02
   0.2360  0.1687  38.882   1.0399  0.00550   873476  0.221   0.5167   0.9878   37.19       13.25      0.4061E-02
   0.2624  0.1702  35.772   0.9773  0.00497   975941  0.245   0.5159   0.9876   37.98       12.32      0.4067E-02
   0.2888  0.1700  33.103   0.9248  0.00457  1069799  0.269   0.5155   0.9872   38.61       11.47      0.4070E-02
   0.3152  0.1706  31.168   0.8970  0.00429  1168773  0.293   0.5098   0.9870   39.45       10.93      0.4116E-02
   0.3416  0.1699  29.493   0.8759  0.00408  1258859  0.317   0.5047   0.9867   40.19       10.44      0.4158E-02
   0.3680  0.1645  27.625   0.8440  0.00391  1313028  0.341   0.5071   0.9860   40.40       9.715      0.4138E-02
   0.3944  0.1528  25.905   0.8272  0.00388  1307052  0.366   0.5142   0.9849   40.22       8.907      0.4081E-02
   0.4208  0.1397  24.458   0.8238  0.00392  1274893  0.390   0.5215   0.9837   39.96       8.179      0.4024E-02
   0.4472  0.1326  23.119   0.8053  0.00386  1285891  0.414   0.5258   0.9826   39.86       7.617      0.3991E-02
   0.4736  0.1267  21.871   0.7837  0.00379  1301505  0.439   0.5299   0.9815   39.74       7.116      0.3960E-02
   0.5000  0.1200  20.800   0.7717  0.00377  1300800  0.463   0.5340   0.9803   39.60       6.664      0.3930E-02
   0.5264  0.1146  19.980   0.7699  0.00376  1307974  0.488   0.5344   0.9794   39.68       6.342      0.3926E-02
   0.5528  0.1094  19.213   0.7686  0.00375  1310226  0.512   0.5353   0.9785   39.71       6.039      0.3920E-02
   0.5792  0.1028  18.346   0.7606  0.00376  1290517  0.536   0.5406   0.9771   39.44       5.661      0.3882E-02
   0.6056  0.0960  17.544   0.7558  0.00380  1259970  0.561   0.5465   0.9755   39.10       5.301      0.3839E-02
   0.6320  0.0895  16.849   0.7568  0.00385  1225830  0.585   0.5517   0.9740   38.82       4.988      0.3804E-02
   0.6584  0.0830  16.186   0.7590  0.00393  1184504  0.610   0.5576   0.9724   38.48       4.684      0.3763E-02
   0.6848  0.0759  15.544   0.7643  0.00404  1126887  0.634   0.5655   0.9704   38.00       4.370      0.3710E-02
   0.7112  0.0698  14.977   0.7727  0.00415  1075426  0.659   0.5722   0.9686   37.62       4.103      0.3667E-02
   0.7376  0.0659  14.538   0.7845  0.00422  1052963  0.683   0.5735   0.9674   37.56       3.939      0.3659E-02
   0.7640  0.0583  14.137   0.8171  0.00449   965433  0.707   0.5818   0.9651   37.07       3.681      0.3606E-02
   0.7904  0.0446  13.682   0.8828  0.00559   763863  0.732   0.6093   0.9570   35.47       3.180      0.3444E-02
   0.8168  0.0322  13.165   0.9526  0.00820   570708  0.757   0.6465   0.9375   33.50       2.629      0.3246E-02
