 
# QPROP Version 1.22
# 
# TCC 68x46                                                                       
# 
# EMRAX 228 LV compact axial flux permanent magnet synchronous electric motor     
#   0.13500E-02  Rmotor (Ohms)                  
#    188.00      Io      (Amps)  No load current
#    30.940      Kv    (rpm/Volt)               
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#  26.706   3000.      0.000   2995.       408.9      0.1285E+06  99.004 1512.8028   0.8577   0.6227   0.00249  0.1164E-07  0.4656E-10   0.0250   0.5340  0.1498E+06  0.7999E+05   0.6840  0.4190E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.1838  0.1343  45.459   1.0405  0.00677   576685  0.183   0.6336   0.9864   36.78       11.31      0.3932E-02
   0.2114  0.1555  41.919   0.9656  0.00561   750741  0.206   0.6122   0.9874   38.52       11.39      0.4070E-02
   0.2390  0.1668  38.323   0.8892  0.00487   898257  0.230   0.6056   0.9876   39.64       10.85      0.4114E-02
   0.2666  0.1703  34.928   0.8189  0.00438  1014726  0.255   0.6073   0.9871   40.24       10.02      0.4103E-02
   0.2942  0.1701  32.096   0.7676  0.00407  1111253  0.279   0.6093   0.9865   40.69       9.255      0.4089E-02
   0.3218  0.1705  30.036   0.7415  0.00385  1212163  0.304   0.6049   0.9860   41.36       8.794      0.4119E-02
   0.3494  0.1700  28.338   0.7247  0.00367  1307813  0.329   0.5994   0.9856   42.03       8.420      0.4157E-02
   0.3770  0.1649  26.481   0.6973  0.00355  1364795  0.354   0.6021   0.9847   42.18       7.824      0.4138E-02
   0.4046  0.1526  24.672   0.6770  0.00353  1353981  0.379   0.6117   0.9833   41.87       7.091      0.4073E-02
   0.4322  0.1392  23.199   0.6718  0.00357  1317061  0.404   0.6203   0.9818   41.56       6.466      0.4017E-02
   0.4598  0.1330  22.121   0.6697  0.00354  1336696  0.430   0.6200   0.9810   41.74       6.130      0.4018E-02
   0.4874  0.1285  21.116   0.6629  0.00349  1367730  0.455   0.6192   0.9802   41.92       5.836      0.4023E-02
   0.5150  0.1214  20.000   0.6495  0.00348  1363764  0.480   0.6247   0.9787   41.70       5.429      0.3988E-02
   0.5426  0.1140  18.960   0.6372  0.00348  1349009  0.506   0.6310   0.9771   41.42       5.040      0.3948E-02
   0.5702  0.1079  18.112   0.6322  0.00349  1340194  0.531   0.6344   0.9758   41.29       4.744      0.3927E-02
   0.5978  0.1026  17.412   0.6333  0.00350  1334619  0.556   0.6356   0.9747   41.28       4.517      0.3920E-02
   0.6254  0.0964  16.677   0.6313  0.00353  1311315  0.582   0.6399   0.9732   41.08       4.251      0.3893E-02
   0.6530  0.0892  15.923   0.6279  0.00358  1267175  0.607   0.6473   0.9713   40.69       3.954      0.3849E-02
   0.6806  0.0822  15.291   0.6326  0.00366  1216885  0.632   0.6535   0.9695   40.37       3.701      0.3812E-02
   0.7082  0.0760  14.754   0.6427  0.00375  1169585  0.658   0.6580   0.9680   40.14       3.494      0.3786E-02
   0.7358  0.0707  14.271   0.6543  0.00383  1130472  0.683   0.6611   0.9666   39.99       3.322      0.3768E-02
   0.7634  0.0656  13.803   0.6670  0.00393  1087781  0.709   0.6647   0.9651   39.81       3.156      0.3748E-02
   0.7910  0.0544  13.284   0.6999  0.00470   934131  0.734   0.6825   0.9581   38.83       2.815      0.3650E-02
   0.8186  0.0404  12.816   0.7613  0.00718   718998  0.760   0.7118   0.9380   37.29       2.372      0.3500E-02
   0.8462  0.0325  12.554   0.8311  0.01196   596428  0.785   0.7277   0.9038   36.51       2.123      0.3424E-02
