 
# QPROP Version 1.22
# 
# TCC 67x33                                                                       
# 
# EMRAX 228 LV compact axial flux permanent magnet synchronous electric motor     
#   0.13500E-02  Rmotor (Ohms)                  
#    188.00      Io      (Amps)  No load current
#    30.940      Kv    (rpm/Volt)               
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   2.000   3463.      0.000   4413.       418.1      0.1516E+06 113.997 1542.6548   0.8621   0.0582   0.00016  0.1364E-07  0.3842E-10   0.4551   0.0502  0.1759E+06   8825.       0.7044  0.9981E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.1052  0.1500  31.758   0.6521  0.00675   363407  0.104   0.1083   0.9742   15.34       22.84      0.1515E-02
   0.1356  0.1500  30.206   0.7193  0.00609   473058  0.135   0.0927   0.9774   18.42       21.37      0.1770E-02
   0.1660  0.1500  28.673   0.7566  0.00558   584349  0.166   0.0828   0.9790   21.08       19.96      0.1981E-02
   0.1964  0.1500  27.283   0.7780  0.00517   696524  0.198   0.0758   0.9800   23.44       18.72      0.2163E-02
   0.2268  0.1498  25.851   0.7816  0.00481   808780  0.231   0.0710   0.9803   25.43       17.52      0.2311E-02
   0.2572  0.1409  24.518   0.8029  0.00470   868729  0.263   0.0682   0.9799   26.86       16.22      0.2404E-02
   0.2876  0.1399  22.876   0.7734  0.00437   970107  0.296   0.0663   0.9792   28.00       15.04      0.2474E-02
   0.3180  0.1401  21.622   0.7525  0.00410  1078438  0.329   0.0641   0.9788   29.20       14.14      0.2558E-02
   0.3484  0.1421  20.525   0.7288  0.00384  1202140  0.361   0.0620   0.9785   30.41       13.42      0.2646E-02
   0.3788  0.1297  19.249   0.7290  0.00384  1198232  0.395   0.0624   0.9767   30.51       12.30      0.2629E-02
   0.4092  0.1299  18.132   0.6980  0.00364  1299352  0.428   0.0614   0.9757   31.15       11.60      0.2670E-02
   0.4396  0.1203  17.218   0.7022  0.00365  1296564  0.461   0.0615   0.9741   31.30       10.81      0.2667E-02
   0.4700  0.1200  16.300   0.6765  0.00349  1385034  0.493   0.0608   0.9730   31.80       10.26      0.2699E-02
   0.5004  0.1197  15.387   0.6482  0.00335  1473132  0.526   0.0603   0.9716   32.15       9.725      0.2719E-02
   0.5308  0.1102  14.572   0.6491  0.00339  1441139  0.559   0.0610   0.9694   31.90       9.066      0.2687E-02
   0.5612  0.0998  13.862   0.6591  0.00347  1381963  0.592   0.0619   0.9671   31.54       8.453      0.2648E-02
   0.5916  0.0941  12.987   0.6412  0.00345  1376524  0.625   0.0630   0.9641   31.12       7.886      0.2604E-02
   0.6220  0.0928  12.322   0.6231  0.00337  1428646  0.658   0.0628   0.9624   31.27       7.531      0.2612E-02
   0.6524  0.0808  11.562   0.6323  0.00353  1306594  0.691   0.0652   0.9580   30.21       6.906      0.2516E-02
   0.6828  0.0683  11.049   0.6687  0.00394  1156923  0.724   0.0674   0.9525   29.30       6.376      0.2435E-02
   0.7132  0.0686  10.535   0.6543  0.00547  1213601  0.756   0.0665   0.9319   29.68       6.186      0.2465E-02
   0.7436  0.0570  10.116   0.7064  0.01113  1052124  0.789   0.0688   0.8711   28.77       5.732      0.2385E-02
   0.7740  0.0507   9.822   0.7564  0.02235   973915  0.822   0.0691   0.7749   28.66       5.481      0.2374E-02
   0.8044  0.0400   9.516   0.8547  0.04196   800020  0.855   0.0717   0.6578   27.67       5.073      0.2289E-02
   0.8348  0.0302   9.259   1.0003  0.07208   626901  0.887   0.0748   0.5474   26.56       4.672      0.2194E-02
